Topic,Date,Score,Comments
Bacteriophages,04 July 2024,,
Monet in England,27 June 2024,,
Karma,20 June 2024,,
Fielding's Tom Jones,13 June 2024,,
The Orkneyinga Saga,06 June 2024,,
Marsilius of Padua,30 May 2024,,
Empress Dowager Cixi,23 May 2024,,
Philippa Foot,16 May 2024,,
Sir Thomas Wyatt,09 May 2024,,
Mercury,02 May 2024,,
Bertolt Brecht,25 April 2024,,
Napoleon's Hundred Days,18 April 2024,,
Lysistrata,11 April 2024,,
Nikola Tesla,04 April 2024,,
The Kalevala,28 March 2024,,
Julian the Apostate,21 March 2024,,
The Waltz,14 March 2024,,
The Mokrani Revolt,07 March 2024,,
Heisenberg's Uncertainty Principle,29 February 2024,,
The Sack of Rome 1527,22 February 2024,,
Alice's Adventures in Wonderland,15 February 2024,,
Hormones,8 February 2024,,
The Hanseatic League,1 February 2024,,
Panpsychism,25 January 2024,,
Nefertiti,18 January 2024,,
Condorcet,11 January 2024,,
"Twelfth Night, or What You Will",28 December 2023,,
Vincent van Gogh,21 December 2023,,
Tiberius,14 December 2023,,
Karl Barth,07 December 2023,,
Edgar Allan Poe,30 November 2023,,
Marguerite de Navarre,23 November 2023,,
The Theory of the Leisure Class,16 November 2023,,
The Barbary Corsairs,09 November 2023,,
Aristotle's Nicomachean Ethics,02 November 2023,,
Germinal,26 October 2023,,
Julian of Norwich,19 October 2023,,
The Federalist Papers,12 October 2023,,
Plankton,05 October 2023,,
The Economic Consequences of the Peace,28 September 2023,,
Melvyn Bragg talks to Mishal Husain,21 September 2023,,
"The Seventh Seal
(1000th program)",21 September 2023,,
Albert Einstein,14 September 2023,,
Jupiter,29 June 2023,,
Elizabeth Anscombe,22 June 2023,,
Death in Venice,15 June 2023,,
Oedipus Rex,08 June 2023,,
Mitochondria,01 June 2023,,
Louis XIV: The Sun King,25 May 2023,,
Virgil's Georgics,18 May 2023,,
The Shimabara Rebellion,11 May 2023,,
The Dead Sea Scrolls,4 May 2023,,
Walt Whitman,27 April 2023,,
Linnaeus,20 April 2023,,
The Battle of Crécy,13 April 2023,,
Cnut,6 April 2023,,
A Room of One's Own,30 March 2023,,
Solon the Lawgiver,23 March 2023,,
Mercantilism,16 March 2023,,
The Ramayana,9 March 2023,,
Megaliths,2 Mar 2023,,
Paul Erdős,23 Feb 2023,,
Stevie Smith,16 Feb 2023,,
Chartism,9 Feb 2023,,
Tycho Brahe,2 February 2023,,
Superconductivity,26 January 2023,,
Rawls' Theory of Justice,19 January 2023,,
John Donne,12 January 2023,,
The Great Stink,29 December 2022,,
Persuasion,22 December 2022,,
Citizen Kane,15 December 2022,,
The Irish Rebellion of 1798,8 December 2022,,
The Nibelungenlied,1 December 2022,,
The Challenger Expedition 1872–1876,24 November 2022,,
Demosthenes' Philippics,17 November 2022,,
Bauhaus,10 November 2022,,
The Morant Bay Rebellion,3 November 2022,,
Wilfred Owen,27 October 2022,,
The Fish-Tetrapod Transition,20 October 2022,,
Berthe Morisot,13 October 2022,,
The Knights Templar,6 October 2022,,
The Electron,29 September 2022,,
Plato's Atlantis,22 September 2022,,
Nineteen Eighty-Four,15 September 2022,,
John Bull,30 June 2022,,
Angkor Wat,23 June 2022,,
Dylan Thomas,16 June 2022,,
The Death of Stars,9 June 2022,,
Hegel's Philosophy of History,26 May 2022,,
Jan Amos Komenský,19 May 2022,,
Tang Era Poetry,12 May 2022,,
The Davidian Revolution,5 May 2022,,
Early Christian Martyrdom,28 April 2022,,
Olympe de Gouges,21 April 2022,,
Homo erectus,14 April 2022,,
Polidori's The Vampyre,07 April 2022,,
The Sistine Chapel,31 March 2022,,
Antigone,24 March 2022,,
Charisma,17 March 2022,,
Seismology,10 March 2022,,
The Arthashastra,3 March 2022,,
Peter Kropotkin,24 February 2022,,
Romeo and Juliet,17 February 2022,,
Walter Benjamin,10 February 2022,,
The Temperance Movement,3 February 2022,,
Colette,27 January 2022,,
The Gold Standard,20 January 2022,,
Thomas Hardy's Poetry,13 January 2022,,
Fritz Lang,30 December 2021,,
The Hittites,23 December 2021,,
A Christmas Carol,16 December 2021,,
The May Fourth Movement,9 December 2021,,
The Battle of Trafalgar,2 December 2021,,
Plato's Gorgias,25 November 2021,,
The Decadent Movement,18 November 2021,,
William and Caroline Herschel,11 November 2021,,
The Song of Roland,4 November 2021,,
Corals,28 October 2021,,
Iris Murdoch,21 October 2021,,
The Polish-Lithuanian Commonwealth,14 October 2021,,
The Manhattan Project,7 October 2021,,
The Tenant of Wildfell Hall,30 September 2021,,
Herodotus,23 September 2021,,
The Evolution of Crocodiles,16 September 2021,,
Shakespeare's Sonnets,24 June 2021,,
Edward Gibbon,17 June 2021,,
Booth's Life and Labour Survey,10 June 2021,,
Kant's Copernican Revolution,3 June 2021,,
The Interregnum,27 May 2021,,
Journey to the West,20 May 2021,,
Longitude,13 May 2021,,
The Second Barons' War,6 May 2021,,
Ovid,29 April 2021,,
The Franco-American Alliance 1778,22 April 2021,,
Arianism,15 April 2021,,
Pierre-Simon Laplace,8 April 2021,,
The Russo-Japanese War,1 April 2021,,
David Ricardo,25 March 2021,,
The Bacchae,18 March 2021,,
The Late Devonian Extinction,11 March 2021,,
The Rime of the Ancient Mariner,4 March 2021,,
Marcus Aurelius,25 February 2021,,
Medieval Pilgrimage,18 February 2021,,
The Rosetta Stone,11 February 2021,,
Emilie du Châtelet,4 February 2021,,
Saint Cuthbert,28 January 2021,,
Plague of Justinian,21 January 2021,,
The Great Gatsby,14 January 2021,,
Eclipses,31 December 2020,,
The Cultural Revolution,17 December 2020,,
John Wesley and Methodism,10 December 2020,,
Fernando Pessoa,3 December 2020,,
Albrecht Dürer,12 November 2020,,
Mary Astell,5 November 2020,,
Piers Plowman,29 October 2020,,
Maria Theresa,22 October 2020,,
Alan Turing,15 October 2020,,
Deism,8 October 2020,,
Macbeth,1 October 2020,,
Cave Art,24 September 2020,,
Pericles,17 September 2020,,
The Covenanters,12 March 2020,,
Paul Dirac,5 March 2020,,
The Evolution of Horses,27 February 2020,,
Battle of the Teutoburg Forest,13 February 2020,,
George Sand,6 February 2020,,
Alcuin,30 January 2020,,
Solar Wind,23 January 2020,,
The Siege of Paris (1870-71),16 January 2020,,
Catullus,11 January 2020,,
Tutankhamun,26 December 2019,,
Auden,19 December 2019,,
Coffee,12 December 2019,,
Lawrence of Arabia,5 December 2019,,
Li Shizhen,28 November 2019,,
"Melisende, Queen of Jerusalem",21 November 2019,,
Crime and Punishment,14 November 2019,,
The Treaty of Limerick,7 November 2019,,
Hybrids,31 October 2019,,
Robert Burns,24 October 2019,,
The Time Machine,17 October 2019,,
Rousseau on Education,10 October 2019,,
Dorothy Hodgkin,3 October 2019,,
The Rapture,26 September 2019,,
Napoleon's Retreat from Moscow,19 September 2019,,
Lorca,4 July 2019,,
Doggerland,27 June 2019,,
The Mytilenaean Debate,20 June 2019,,
The Inca,13 June 2019,,
Sir Thomas Browne,6 June 2019,,
President Ulysses S Grant,30 May 2019,,
Kinetic Theory,23 May 2019,,
Frankenstein,16 May 2019,,
Bergson and Time,9 May 2019,,
